,Price,Levy,Manufacturer,Model,Prod. year,Category,Leather interior,Fuel type,Engine volume,Mileage,Cylinders,Gear box type,Drive wheels,Doors,Wheel,Color,Airbags,Mileage_bin
28,14454,583,HYUNDAI,Elantra,2011,Sedan,Yes,Petrol,1.6,158787.0,4,Automatic,Front,04-May,Left wheel,Silver,4,"(111111.0, 159000.0]"
29,12074,1537,TOYOTA,Highlander,2009,Jeep,Yes,Hybrid,3.3,420550.0,6,Automatic,4x4,04-May,Left wheel,Blue,12,"(250000.0, 438886.75]"
30,15681,1288,MERCEDES-BENZ,Vito,2007,Goods wagon,No,Diesel,2.0,180000.0,6,Manual,Rear,04-May,Left wheel,White,4,"(159000.0, 250000.0]"
31,19444,915,PORSCHE,Cayenne,2014,Jeep,Yes,Diesel,3.0,175056.0,6,Automatic,4x4,04-May,Left wheel,White,12,"(159000.0, 250000.0]"
32,6899,0,BMW,X5,2000,Jeep,Yes,CNG,3.7,200000.0,8,Automatic,4x4,04-May,Left wheel,Silver,6,"(159000.0, 250000.0]"
33,125,1750,TOYOTA,Highlander,2008,Sedan,Yes,Hybrid,3.3,287274.0,6,Automatic,4x4,04-May,Left wheel,White,12,"(250000.0, 438886.75]"
34,24462,0,JEEP,Grand Cherokee,2007,Jeep,Yes,Diesel,3.0,250000.0,6,Tiptronic,4x4,04-May,Left wheel,Black,10,"(159000.0, 250000.0]"
35,23235,631,HYUNDAI,Santa FE,2011,Jeep,Yes,Diesel,2.0,438886.75,4,Automatic,Front,04-May,Left wheel,Black,4,"(250000.0, 438886.75]"
36,51746,1077,TOYOTA,CHR Limited,2019,Jeep,No,Petrol,2.0,10200.0,4,Tiptronic,Front,04-May,Left wheel,Red,12,"(-0.001, 60000.0]"
37,7527,1486,HONDA,FIT,2010,Hatchback,No,Hybrid,1.3,158000.0,4,Automatic,Front,04-May,Right-hand drive,Black,4,"(111111.0, 159000.0]"
38,19121,531,HYUNDAI,Elantra,2012,Sedan,Yes,Petrol,1.6,103490.0,4,Automatic,Front,04-May,Left wheel,Silver,4,"(60000.0, 111111.0]"
39,314,1399,LEXUS,RX 450,2010,Jeep,Yes,Hybrid,3.5,382746.0,6,Automatic,4x4,04-May,Left wheel,Silver,12,"(250000.0, 438886.75]"
40,24462,751,TOYOTA,Camry,2013,Sedan,Yes,Petrol,2.4,203200.0,4,Automatic,Front,04-May,Left wheel,Blue,4,"(159000.0, 250000.0]"
41,45734,1091,HYUNDAI,H1,2016,Universal,Yes,Diesel,2.5,61057.0,4,Automatic,Front,04-May,Left wheel,Black,4,"(60000.0, 111111.0]"
43,21326,382,HYUNDAI,Sonata,2014,Sedan,Yes,Hybrid,2.4,141000.0,4,Tiptronic,Front,04-May,Left wheel,White,12,"(111111.0, 159000.0]"
44,549,1436,PORSCHE,Cayenne,2010,Jeep,Yes,Petrol,3.6,160259.0,6,Automatic,4x4,04-May,Left wheel,Silver,12,"(159000.0, 250000.0]"
45,220,1194,TOYOTA,Tacoma,2013,Jeep,Yes,Petrol,3.7,239342.0,6,Automatic,4x4,04-May,Left wheel,Silver,12,"(159000.0, 250000.0]"
47,55390,1017,HYUNDAI,Santa FE,2017,Jeep,Yes,Diesel,2.0,100734.0,4,Automatic,Front,04-May,Left wheel,Black,4,"(60000.0, 111111.0]"
48,12544,0,TOYOTA,Aqua,2012,Hatchback,No,Hybrid,1.5,141500.0,4,Automatic,Front,04-May,Right-hand drive,Black,8,"(111111.0, 159000.0]"
49,17249,0,FORD,Escape Hybrid,2008,Jeep,No,Hybrid,2.3,147000.0,4,Variator,4x4,04-May,Left wheel,White,8,"(111111.0, 159000.0]"
50,34889,891,HONDA,Civic,2016,Sedan,Yes,Petrol,2.0,87768.0,4,Automatic,Front,04-May,Left wheel,Blue,4,"(60000.0, 111111.0]"
51,862,1104,AUDI,Q7,2015,Jeep,Yes,Petrol,3.0,264014.0,6,Automatic,4x4,04-May,Left wheel,Black,0,"(250000.0, 438886.75]"
52,14583,0,RENAULT,Megane 1.5CDI,2008,Sedan,No,Diesel,1.5,132542.0,4,Manual,Front,04-May,Left wheel,White,10,"(111111.0, 159000.0]"
53,392,1017,MERCEDES-BENZ,E 300,2017,Sedan,Yes,Petrol,2.0,1600.0,4,Automatic,Rear,04-May,Left wheel,Black,12,"(-0.001, 60000.0]"
54,38500,639,AUDI,Q5,2014,Jeep,Yes,Petrol,2.0,87000.0,1,Tiptronic,4x4,04-May,Left wheel,White,12,"(60000.0, 111111.0]"
55,8781,0,MERCEDES-BENZ,C 180,2001,Coupe,No,Petrol,2.0,260000.0,4,Manual,Rear,02-Mar,Left wheel,Blue,0,"(250000.0, 438886.75]"
56,87112,0,MERCEDES-BENZ,GLA 250,2019,Jeep,Yes,Petrol,2.0,5323.0,4,Tiptronic,4x4,04-May,Left wheel,Grey,0,"(-0.001, 60000.0]"
58,392,919,BMW,535,2012,Sedan,Yes,Petrol,3.0,204318.0,6,Automatic,Rear,04-May,Left wheel,Black,12,"(159000.0, 250000.0]"
60,16935,530,FORD,Fusion,2013,Sedan,No,Petrol,1.6,83000.0,4,Tiptronic,Front,04-May,Left wheel,Silver,8,"(60000.0, 111111.0]"
61,10349,0,TOYOTA,VOXY,2007,Minivan,Yes,Petrol,2.4,170000.0,4,Automatic,Front,04-May,Right-hand drive,Black,6,"(159000.0, 250000.0]"
62,7213,530,NISSAN,Juke,2013,Jeep,Yes,Petrol,1.6,312118.0,4,Automatic,Front,04-May,Left wheel,Black,0,"(250000.0, 438886.75]"
63,5331,0,MERCEDES-BENZ,A 160,2004,Sedan,No,Petrol,1.6,130000.0,4,Tiptronic,Front,04-May,Left wheel,Black,6,"(111111.0, 159000.0]"
64,20526,640,HYUNDAI,Tucson,2013,Jeep,Yes,Diesel,2.0,200279.0,4,Automatic,Front,04-May,Left wheel,Grey,4,"(159000.0, 250000.0]"
65,9722,765,HYUNDAI,Sonata,2015,Sedan,Yes,LPG,2.0,438886.75,4,Automatic,Front,04-May,Left wheel,Orange,4,"(250000.0, 438886.75]"
66,34657,777,HYUNDAI,H1,2014,Minivan,Yes,Diesel,2.5,154672.0,4,Automatic,Front,04-May,Left wheel,Silver,4,"(111111.0, 159000.0]"
67,36564,1091,HYUNDAI,H1,2016,Minivan,Yes,Diesel,2.5,110969.0,4,Automatic,Front,04-May,Left wheel,Black,4,"(60000.0, 111111.0]"
68,314,779,TOYOTA,Camry,2013,Sedan,Yes,Hybrid,2.5,225510.0,4,Automatic,Front,04-May,Left wheel,White,12,"(159000.0, 250000.0]"
69,5488,0,TOYOTA,Vitz,2001,Hatchback,No,Petrol,1.5,210000.0,4,Manual,Front,04-May,Right-hand drive,Sky blue,3,"(159000.0, 250000.0]"
70,30063,934,HYUNDAI,H1,2015,Universal,Yes,Diesel,2.5,148105.0,4,Automatic,Front,04-May,Left wheel,Silver,4,"(111111.0, 159000.0]"
71,15800,769,CHEVROLET,Captiva,2011,Jeep,Yes,Diesel,2.2,255456.0,4,Automatic,Front,04-May,Left wheel,Silver,4,"(250000.0, 438886.75]"
72,43952,631,HYUNDAI,H1,2017,Universal,Yes,Diesel,2.5,438886.75,4,Automatic,Front,04-May,Left wheel,Black,4,"(250000.0, 438886.75]"
73,53154,891,HYUNDAI,Santa FE,2016,Jeep,Yes,Diesel,2.0,84506.0,4,Automatic,Front,04-May,Left wheel,Silver,4,"(60000.0, 111111.0]"
74,14740,645,TOYOTA,Prius,2011,Hatchback,No,Hybrid,1.8,288000.0,4,Automatic,Front,04-May,Left wheel,White,8,"(250000.0, 438886.75]"
75,42337,0,FORD,Mustang,2016,Cabriolet,Yes,Petrol,2.3,75000.0,4,Tiptronic,Rear,02-Mar,Left wheel,Silver,6,"(60000.0, 111111.0]"
76,3763,1053,MERCEDES-BENZ,ML 350,2014,Jeep,Yes,Petrol,3.5,94362.0,6,Automatic,Rear,04-May,Left wheel,White,12,"(60000.0, 111111.0]"
77,18189,0,TOYOTA,Prius,2012,Sedan,No,Petrol,1.8,175000.0,4,Automatic,Front,04-May,Left wheel,Silver,8,"(159000.0, 250000.0]"
78,862,2455,LEXUS,GX 470,2008,Jeep,Yes,Petrol,3.7,263190.0,8,Automatic,4x4,04-May,Left wheel,White,0,"(250000.0, 438886.75]"
79,220,1185,FORD,Escape,2009,Jeep,Yes,Hybrid,2.5,193614.0,4,Automatic,Front,04-May,Left wheel,White,0,"(159000.0, 250000.0]"
80,5645,1324,TOYOTA,Highlander,2010,Jeep,Yes,Hybrid,3.3,264877.0,6,Automatic,4x4,04-May,Left wheel,White,12,"(250000.0, 438886.75]"
81,7527,830,TOYOTA,Yaris,2019,Sedan,Yes,Petrol,1.5,27656.0,4,Automatic,Front,04-May,Left wheel,White,12,"(-0.001, 60000.0]"
82,21953,1187,HONDA,Civic,2014,Sedan,No,Hybrid,1.4,16000.0,8,Automatic,4x4,04-May,Right-hand drive,White,10,"(-0.001, 60000.0]"
83,8154,0,HONDA,Cr-v,1998,Jeep,No,Petrol,2.0,0.0,4,Automatic,4x4,04-May,Right-hand drive,White,2,"(-0.001, 60000.0]"
84,21953,781,TOYOTA,Camry,2012,Sedan,No,Petrol,2.5,195053.0,4,Automatic,Front,04-May,Left wheel,Black,0,"(159000.0, 250000.0]"
85,19121,531,HYUNDAI,Elantra,2012,Sedan,Yes,Petrol,1.6,121362.0,4,Automatic,Front,04-May,Left wheel,Black,4,"(111111.0, 159000.0]"
86,36065,639,HYUNDAI,Santa FE,2014,Jeep,Yes,Diesel,2.0,69191.0,4,Automatic,Front,04-May,Left wheel,White,4,"(60000.0, 111111.0]"
87,8781,1111,HONDA,FIT,2012,Hatchback,Yes,Hybrid,1.3,83000.0,4,Tiptronic,Front,04-May,Right-hand drive,Green,12,"(60000.0, 111111.0]"
89,16289,642,CHEVROLET,Orlando,2012,Jeep,Yes,Diesel,2.0,172000.0,4,Automatic,Front,04-May,Left wheel,Grey,4,"(159000.0, 250000.0]"
90,77775,1604,MERCEDES-BENZ,GL 63 AMG,2014,Jeep,Yes,Petrol,3.7,433811.0,8,Automatic,4x4,04-May,Left wheel,Black,10,"(250000.0, 438886.75]"
91,2822,0,BMW,520 Vanos,1995,Sedan,Yes,Petrol,2.0,350000.0,6,Manual,Rear,04-May,Left wheel,Blue,2,"(250000.0, 438886.75]"
92,549,781,SUBARU,Forester,2012,Jeep,Yes,Petrol,2.5,148213.0,4,Automatic,4x4,04-May,Left wheel,Blue,0,"(111111.0, 159000.0]"
93,6981,1095,DAEWOO,Lacetti,2008,Sedan,Yes,Petrol,2.0,103246.0,4,Automatic,Front,04-May,Left wheel,Black,4,"(60000.0, 111111.0]"
94,27284,891,HYUNDAI,Elantra,2016,Sedan,No,Petrol,2.0,105394.0,4,Tiptronic,Front,04-May,Left wheel,Black,12,"(60000.0, 111111.0]"
95,32929,0,BMW,428 Sport Line,2013,Coupe,Yes,Petrol,2.0,160000.0,4,Automatic,Rear,02-Mar,Left wheel,Black,12,"(159000.0, 250000.0]"
96,18817,0,NISSAN,Patrol,1990,Jeep,No,Diesel,2.8,333333.0,4,Manual,Rear,04-May,Left wheel,Black,0,"(250000.0, 438886.75]"
97,4234,0,HONDA,Civic,1997,Hatchback,Yes,Petrol,1.4,0.0,4,Manual,Front,02-Mar,Left wheel,Blue,6,"(-0.001, 60000.0]"
98,15053,0,MERCEDES-BENZ,E 320,2004,Sedan,Yes,Petrol,3.2,214000.0,6,Tiptronic,Rear,04-May,Left wheel,Grey,8,"(159000.0, 250000.0]"
99,15458,966,HYUNDAI,Genesis,2009,Coupe,Yes,Petrol,2.0,123346.0,4,Automatic,Front,04-May,Left wheel,Black,4,"(111111.0, 159000.0]"
100,2901,473,CHEVROLET,Cruze,2014,Sedan,Yes,Petrol,1.4,80827.0,4,Automatic,Front,04-May,Left wheel,Green,12,"(60000.0, 111111.0]"
101,706,631,PORSCHE,911,2013,Coupe,Yes,Petrol,3.7,438886.75,6,Automatic,Rear,02-Mar,Left wheel,Black,12,"(250000.0, 438886.75]"
102,314,382,FORD,Fusion,2015,Sedan,Yes,Hybrid,2.0,91760.0,4,Automatic,Front,04-May,Left wheel,Black,12,"(60000.0, 111111.0]"
104,26657,0,MERCEDES-BENZ,Sprinter,2004,Microbus,No,Diesel,2.2,300000.0,4,Manual,Rear,04-May,Left wheel,White,1,"(250000.0, 438886.75]"
105,10663,988,TOYOTA,Prius,2007,Hatchback,No,Petrol,1.5,318400.0,4,Automatic,Front,04-May,Left wheel,Silver,6,"(250000.0, 438886.75]"
106,12858,765,FORD,Focus SE,2015,Sedan,No,Petrol,2.0,91200.0,4,Automatic,Front,04-May,Left wheel,Sky blue,10,"(60000.0, 111111.0]"
107,1019,917,BMW,X5,2013,Jeep,Yes,Diesel,3.0,137802.0,6,Automatic,4x4,04-May,Left wheel,Black,12,"(111111.0, 159000.0]"
108,549,917,BMW,535,2013,Sedan,Yes,Hybrid,3.0,151586.0,6,Automatic,Rear,04-May,Left wheel,White,12,"(111111.0, 159000.0]"
109,12858,0,KIA,Picanto,2016,Hatchback,No,Petrol,1.2,107000.0,4,Manual,Front,04-May,Left wheel,Silver,2,"(60000.0, 111111.0]"
110,15000,0,BMW,328,2008,Sedan,Yes,CNG,3.0,210408.0,6,Tiptronic,Rear,04-May,Left wheel,White,12,"(159000.0, 250000.0]"
111,85553,1156,FORD,Explorer,2017,Jeep,Yes,Petrol,2.3,100567.0,4,Automatic,Front,04-May,Left wheel,Black,4,"(60000.0, 111111.0]"
112,44752,1091,HYUNDAI,H1,2016,Universal,Yes,Diesel,2.5,86000.0,4,Automatic,Front,04-May,Left wheel,Grey,4,"(60000.0, 111111.0]"
113,17158,687,HYUNDAI,Elantra,2010,Sedan,Yes,Petrol,1.6,122740.0,4,Automatic,Front,04-May,Left wheel,White,4,"(111111.0, 159000.0]"
114,12231,0,MITSUBISHI,Airtrek,2005,Jeep,No,LPG,2.4,144000.0,4,Tiptronic,4x4,04-May,Right-hand drive,White,16,"(111111.0, 159000.0]"
116,1254,0,MITSUBISHI,Lancer,1997,Sedan,No,Petrol,1.3,100000.0,4,Manual,Rear,04-May,Left wheel,Red,0,"(60000.0, 111111.0]"
117,94,0,HONDA,FIT,2003,Hatchback,No,Petrol,1.5,178000.0,4,Variator,Front,04-May,Right-hand drive,Silver,4,"(159000.0, 250000.0]"
118,25591,640,SSANGYONG,Korando,2013,Jeep,Yes,Diesel,2.0,85704.0,4,Automatic,Front,04-May,Left wheel,Silver,4,"(60000.0, 111111.0]"
120,23521,779,TOYOTA,Camry,2013,Sedan,Yes,Hybrid,2.5,90000.0,4,Tiptronic,Front,04-May,Left wheel,White,12,"(60000.0, 111111.0]"
121,3450,0,RENAULT,Clio,1995,Hatchback,No,Petrol,1.2,50000.0,3,Manual,Front,02-Mar,Left wheel,Green,0,"(-0.001, 60000.0]"
122,706,777,MAZDA,616,2014,Sedan,Yes,Petrol,2.5,0.0,4,Automatic,Front,04-May,Left wheel,Red,12,"(-0.001, 60000.0]"
123,1019,631,TOYOTA,Highlander,2009,Sedan,Yes,Hybrid,3.3,438886.75,6,Automatic,4x4,04-May,Left wheel,Black,12,"(250000.0, 438886.75]"
124,16935,765,FORD,Fusion,2015,Sedan,Yes,Petrol,2.0,71454.0,4,Automatic,Front,04-May,Left wheel,Black,0,"(60000.0, 111111.0]"
125,19444,781,TOYOTA,Camry,2012,Sedan,Yes,Petrol,2.5,0.0,4,Tiptronic,Front,04-May,Left wheel,Black,6,"(-0.001, 60000.0]"
126,11604,639,HYUNDAI,Sonata,2014,Sedan,Yes,LPG,2.0,346470.0,4,Automatic,Front,04-May,Left wheel,Silver,4,"(250000.0, 438886.75]"
127,51965,631,HYUNDAI,Santa FE,2016,Jeep,Yes,Diesel,2.0,438886.75,4,Automatic,Front,04-May,Left wheel,Black,4,"(250000.0, 438886.75]"
128,706,394,TOYOTA,Camry,2014,Sedan,Yes,Hybrid,2.5,115312.0,4,Automatic,Front,04-May,Left wheel,Grey,12,"(111111.0, 159000.0]"
129,9408,0,MERCEDES-BENZ,C 220,1999,Sedan,No,Diesel,2.2,111111.0,4,Manual,Rear,04-May,Left wheel,Silver,4,"(60000.0, 111111.0]"
130,13328,1347,HYUNDAI,H1,2008,Minivan,Yes,Diesel,2.5,74444.0,4,Automatic,Front,04-May,Left wheel,Yellow,4,"(60000.0, 111111.0]"
131,17876,0,NISSAN,Serena,2012,Minivan,No,Petrol,2.0,143000.0,4,Tiptronic,Front,04-May,Right-hand drive,White,12,"(111111.0, 159000.0]"
132,549,2866,NISSAN,Maxima,2004,Sedan,Yes,Petrol,3.5,299709.0,6,Automatic,Front,04-May,Left wheel,Grey,12,"(250000.0, 438886.75]"
133,20071,0,TOYOTA,RAV 4,2008,Jeep,No,Petrol,2.4,135000.0,4,Automatic,4x4,04-May,Left wheel,Silver,8,"(111111.0, 159000.0]"
134,22894,631,HYUNDAI,H1,2011,Minivan,Yes,Diesel,2.5,438886.75,4,Automatic,Front,04-May,Left wheel,Black,4,"(250000.0, 438886.75]"
135,2901,503,HONDA,Civic,2012,Sedan,Yes,Hybrid,1.5,146403.0,4,Automatic,Front,04-May,Left wheel,White,0,"(111111.0, 159000.0]"
136,15681,0,MITSUBISHI,Pajero,1997,Jeep,No,Petrol,2.4,142000.0,4,Automatic,4x4,02-Mar,Left wheel,Blue,6,"(111111.0, 159000.0]"
137,39829,631,LEXUS,GX 460,2010,Jeep,Yes,Petrol,3.7,438886.75,8,Automatic,4x4,04-May,Left wheel,Black,0,"(250000.0, 438886.75]"
138,706,1646,LEXUS,GX 460,2015,Jeep,Yes,Petrol,3.7,102907.0,8,Automatic,4x4,04-May,Left wheel,Black,0,"(60000.0, 111111.0]"
139,18660,0,HYUNDAI,Sonata,2013,Sedan,Yes,Petrol,2.4,130000.0,4,Tiptronic,Front,04-May,Left wheel,Black,6,"(111111.0, 159000.0]"
140,22580,1017,MERCEDES-BENZ,E 300,2017,Sedan,Yes,Petrol,2.0,50930.0,4,Automatic,Rear,04-May,Left wheel,Black,12,"(-0.001, 60000.0]"
141,11604,639,HYUNDAI,Sonata,2014,Sedan,Yes,LPG,2.0,264872.0,4,Automatic,Front,04-May,Left wheel,Silver,4,"(250000.0, 438886.75]"
142,314,259,CHEVROLET,Volt,2014,Hatchback,Yes,Hybrid,1.4,131893.0,4,Automatic,Front,04-May,Left wheel,Brown,0,"(111111.0, 159000.0]"
143,5488,751,GMC,TERRAIN,2013,Jeep,Yes,Petrol,2.4,138958.0,4,Automatic,Front,04-May,Left wheel,Black,12,"(111111.0, 159000.0]"
144,4300,0,MERCEDES-BENZ,208,1985,Universal,No,Diesel,2.5,438886.75,4,Manual,Rear,04-May,Left wheel,Black,1,"(250000.0, 438886.75]"
145,18817,609,TOYOTA,Camry,2018,Sedan,Yes,Hybrid,2.5,35058.0,4,Automatic,Front,04-May,Left wheel,White,12,"(-0.001, 60000.0]"
146,21169,697,HONDA,Hr-v EX,2015,Jeep,No,Petrol,1.8,33330.0,4,Automatic,4x4,04-May,Left wheel,Grey,8,"(-0.001, 60000.0]"
147,9095,0,FIAT,500,2011,Coupe,No,Petrol,1.2,141000.0,4,Automatic,Front,02-Mar,Right-hand drive,Red,4,"(111111.0, 159000.0]"
148,1568,639,VOLKSWAGEN,Jetta,2014,Sedan,Yes,Diesel,2.0,82392.0,4,Automatic,Front,04-May,Left wheel,Silver,12,"(60000.0, 111111.0]"
149,3136,0,SUBARU,Legacy,2005,Goods wagon,No,Petrol,2.0,180000.0,6,Tiptronic,4x4,04-May,Right-hand drive,Blue,6,"(159000.0, 250000.0]"
150,17876,585,HYUNDAI,Elantra sport limited,2013,Sedan,Yes,Petrol,1.8,117920.0,4,Tiptronic,Front,04-May,Left wheel,Grey,12,"(111111.0, 159000.0]"
151,11290,891,HYUNDAI,Sonata,2016,Sedan,Yes,LPG,2.0,279787.0,4,Automatic,Front,04-May,Left wheel,Silver,4,"(250000.0, 438886.75]"
152,36065,1399,TOYOTA,Sienna,2010,Minivan,Yes,Petrol,3.5,227200.0,6,Tiptronic,Front,04-May,Left wheel,White,16,"(159000.0, 250000.0]"
153,862,394,TOYOTA,Camry,2014,Sedan,Yes,Hybrid,2.5,130478.0,4,Automatic,Front,04-May,Left wheel,White,12,"(111111.0, 159000.0]"
154,21395,781,HYUNDAI,H1,2012,Universal,Yes,Diesel,2.5,166144.0,4,Automatic,Front,04-May,Left wheel,Silver,4,"(159000.0, 250000.0]"
155,15681,891,HYUNDAI,Sonata,2016,Sedan,Yes,LPG,2.0,258706.0,4,Automatic,Front,04-May,Left wheel,Silver,4,"(250000.0, 438886.75]"
156,627,475,CHEVROLET,Volt,2012,Jeep,Yes,Hybrid,1.4,188419.0,4,Automatic,Front,04-May,Left wheel,Red,0,"(159000.0, 250000.0]"
157,40070,690,TOYOTA,Aqua,2016,Hatchback,Yes,Petrol,1.5,25807.0,4,Automatic,Front,04-May,Left wheel,Black,4,"(-0.001, 60000.0]"
158,11917,0,MERCEDES-BENZ,A 170,2008,Hatchback,No,Petrol,1.7,180000.0,4,Automatic,Front,04-May,Left wheel,Golden,8,"(159000.0, 250000.0]"
159,72130,1079,LEXUS,NX 300,2018,Jeep,Yes,Petrol,2.0,18918.0,4,Tiptronic,Front,04-May,Left wheel,Black,6,"(-0.001, 60000.0]"
160,35927,640,SSANGYONG,REXTON,2013,Jeep,Yes,Diesel,2.0,137267.0,4,Automatic,Front,04-May,Left wheel,Silver,4,"(111111.0, 159000.0]"
161,21012,308,TOYOTA,Prius,2014,Sedan,No,Hybrid,1.8,160000.0,4,Automatic,4x4,04-May,Left wheel,White,4,"(159000.0, 250000.0]"
162,21012,1823,TOYOTA,Tacoma,2018,Sedan,Yes,Petrol,3.5,27358.0,6,Automatic,Front,04-May,Left wheel,Grey,12,"(-0.001, 60000.0]"
163,13172,1361,KIA,Carnival grand,2009,Minivan,Yes,Diesel,2.9,84176.0,4,Automatic,Front,04-May,Left wheel,White,6,"(60000.0, 111111.0]"
164,15624,707,HYUNDAI,Genesis,2011,Coupe,Yes,Petrol,2.0,107005.0,4,Automatic,Front,04-May,Left wheel,Grey,4,"(60000.0, 111111.0]"
165,4547,0,OPEL,Vectra,1997,Sedan,No,Petrol,1.6,15000.0,4,Manual,Front,04-May,Left wheel,Beige,2,"(-0.001, 60000.0]"
166,5488,1273,INFINITI,QX60,2015,Jeep,Yes,Petrol,3.5,124154.0,6,Automatic,4x4,04-May,Left wheel,Black,12,"(111111.0, 159000.0]"
167,20005,531,HYUNDAI,Elantra,2012,Sedan,Yes,Petrol,1.6,104997.0,4,Automatic,Front,04-May,Left wheel,White,4,"(60000.0, 111111.0]"
168,36110,924,VOLKSWAGEN,Passat,2017,Sedan,Yes,Petrol,1.8,27728.0,6,Tiptronic,Front,04-May,Left wheel,Silver,8,"(-0.001, 60000.0]"
169,7840,631,MERCEDES-BENZ,E 240 E 240,1998,Sedan,Yes,Petrol,2.4,438886.75,6,Manual,Rear,04-May,Left wheel,Black,4,"(250000.0, 438886.75]"
